measurement,sample,metabolite,isotopologue,natural_fraction,measured_fraction
0.0,HEK_Wt_QC2_1x_split1_v2_inj4,fdp,m0,0.908819088190882,NaN
0.0,HEK_Wt_QC2_1x_split1_v2_inj4,fdp,m1,0.06539065390653906,NaN
0.0,HEK_Wt_QC2_1x_split1_v2_inj4,fdp,m2,0.023900239002390026,NaN
0.0,HEK_Wt_QC2_1x_split1_v2_inj4,fdp,m3,0.0016000160001600017,NaN
0.0,HEK_Wt_QC2_1x_split1_v2_inj4,fdp,m4,0.0002900029000290003,NaN
0.0,HEK_Wt_QC1_1x_split1_v2_inj3,23dpg,m0,0.94422,NaN
0.0,HEK_Wt_QC1_1x_split1_v2_inj3,23dpg,m1,0.03563,NaN
0.0,HEK_Wt_QC1_1x_split1_v2_inj3,23dpg,m2,0.01944,NaN
0.0,HEK_Wt_QC1_1x_split1_v2_inj3,23dpg,m3,0.0007099999999999999,NaN
366728.77,HEK_Wt_QC3_1x_split2_inj1,r5p,m0,0.9442482828796744,0.9509869243306608
18900.896,HEK_Wt_QC3_1x_split2_inj1,r5p,m1,0.05575171712032562,0.04901307566933919
249184.6584,HEK_Wt_QC1_1x_split1_inj2,g6p,m0,0.9167859968156374,0.8917672188248704
15662.407017,HEK_Wt_QC1_1x_split1_inj2,g6p,m1,0.06470865085166679,0.056051689679998476
14580.85382,HEK_Wt_QC1_1x_split1_inj2,g6p,m2,0.018505352332695794,0.0521810914951311
110450.8235,HEK_Wt_QC3_1x_split2_inj1,Pool_2pg_3pg,m0,0.9648983981089774,0.9406483291962863
6969.066667,HEK_Wt_QC3_1x_split2_inj1,Pool_2pg_3pg,m1,0.03510160189102272,0.05935167080371367
799378.6907,HEK_Wt_QC3_1x_split2_inj2,pep,m0,0.9655758950267292,0.9647187852286063
29234.47921,HEK_Wt_QC3_1x_split2_inj2,pep,m1,0.0344241049732707,0.03528121477139364
168166.3925,HEK_Wt_QC3_1x_split2_inj1,s7p,m0,0.9241086500588265,0.9361043618306447
11478.52676,HEK_Wt_QC3_1x_split2_inj1,s7p,m1,0.07589134994117346,0.06389563816935527
0.0,HEK_Wt_QC2_1x_split1_v2_inj4,cit,m0,0.9207720772077208,NaN
0.0,HEK_Wt_QC2_1x_split1_v2_inj4,cit,m1,0.06351635163516352,NaN
0.0,HEK_Wt_QC2_1x_split1_v2_inj4,cit,m2,0.014791479147914793,NaN
0.0,HEK_Wt_QC2_1x_split1_v2_inj4,cit,m3,0.0009200920092009201,NaN
8682694.235,HEK_Wt_QC3_1x_split1_inj2,akg,m0,0.9354667733386669,0.9475940746531459
471088.8734,HEK_Wt_QC3_1x_split1_inj2,akg,m1,0.05336266813340667,0.05141273123144432
6274.986161,HEK_Wt_QC3_1x_split1_inj2,akg,m2,0.010620531026551328,0.0006848265692375947
2825.535941,HEK_Wt_QC3_1x_split1_inj2,akg,m3,0.0005500275013750688,0.00030836754617227417
518528.5746,HEK_Wt_QC2_1x_split1_inj2,23dpg,m0,0.94422,0.9390935657836591
24778.96124,HEK_Wt_QC2_1x_split1_inj2,23dpg,m1,0.03563,0.04487652987154525
6724.329242,HEK_Wt_QC2_1x_split1_inj2,23dpg,m2,0.01944,0.012178257158237445
2126.720061,HEK_Wt_QC2_1x_split1_inj2,23dpg,m3,0.0007099999999999999,0.003851647186558214
85272.15556,HEK_Wt_QC2_1x_split2_inj1,Pool_2pg_3pg,m0,0.9648983981089774,0.9252411686900868
6889.929792,HEK_Wt_QC2_1x_split2_inj1,Pool_2pg_3pg,m1,0.03510160189102272,0.07475883130991332
0.0,HEK_Wt_QC3_1x_split1_v2_inj4,g6p,m0,0.9167859968156374,NaN
0.0,HEK_Wt_QC3_1x_split1_v2_inj4,g6p,m1,0.06470865085166679,NaN
0.0,HEK_Wt_QC3_1x_split1_v2_inj4,g6p,m2,0.018505352332695794,NaN
