Index,Sample Name,Sample Type,Dilution Factor,Component Name,Component Type,Mass Info,Component Group Name,Expected RT,Retention Time,Retention Time Delta (min),Area,Height,Height Ratio
1,blank3,Unknown,1,23dpg_m0-0,Quantifiers,265.0 / 166.8,23dpg,15.5,N/A,N/A,N/A,N/A,N/A
2,blank3,Unknown,1,23dpg_m1-1,Qualifiers,266.0 / 167.8,23dpg,15.5,N/A,N/A,N/A,N/A,N/A
3,blank3,Unknown,1,23dpg_m2-2,Qualifiers,267.0 / 168.8,23dpg,15.5,N/A,N/A,N/A,N/A,N/A
4,blank3,Unknown,1,23dpg_m3-3,Qualifiers,268.0 / 170.0,23dpg,15.5,N/A,N/A,N/A,N/A,N/A
5,blank3,Unknown,1,acon-C_m0-0,Quantifiers,173.0 / 129.0,acon-C,14.1,13.65876031,0.441239692,1042874.968,114125.0199,N/A
6,blank3,Unknown,1,acon-C_m1-0,Qualifiers,174.0 / 129.0,acon-C,14.1,N/A,N/A,N/A,N/A,N/A
7,blank3,Unknown,1,acon-C_m1-1,Qualifiers,174.0 / 130.0,acon-C,14.1,N/A,N/A,N/A,N/A,N/A
8,blank3,Unknown,1,acon-C_m2-1,Qualifiers,175.0 / 130.0,acon-C,14.1,N/A,N/A,N/A,N/A,N/A
9,blank3,Unknown,1,acon-C_m2-2,Qualifiers,175.0 / 131.0,acon-C,14.1,N/A,N/A,N/A,N/A,N/A
10,blank3,Unknown,1,acon-C_m3-2,Qualifiers,176.0 / 131.0,acon-C,14.1,N/A,N/A,N/A,N/A,N/A
11,blank3,Unknown,1,acon-C_m3-3,Qualifiers,176.0 / 132.0,acon-C,14.1,N/A,N/A,N/A,N/A,N/A
12,blank3,Unknown,1,acon-C_m4-3,Qualifiers,177.0 / 132.0,acon-C,14.1,N/A,N/A,N/A,N/A,N/A
13,blank3,Unknown,1,acon-C_m4-4,Qualifiers,177.0 / 133.0,acon-C,14.1,N/A,N/A,N/A,N/A,N/A
14,blank3,Unknown,1,acon-C_m5-4,Qualifiers,178.0 / 133.0,acon-C,14.1,N/A,N/A,N/A,N/A,N/A
15,blank3,Unknown,1,acon-C_m5-5,Qualifiers,178.0 / 134.0,acon-C,14.1,N/A,N/A,N/A,N/A,N/A
16,blank3,Unknown,1,acon-C_m6-5,Qualifiers,179.0 / 134.0,acon-C,14.1,N/A,N/A,N/A,N/A,N/A
17,blank3,Unknown,1,akg_m0-0,Quantifiers,145.1 / 101.0,akg,12.8,13.23835973,0.438359731,475317.7138,73126.42922,N/A
18,blank3,Unknown,1,akg_m1-0,Qualifiers,146.1 / 101.0,akg,12.8,N/A,N/A,N/A,N/A,N/A
19,blank3,Unknown,1,akg_m1-1,Qualifiers,146.1 / 102.0,akg,12.8,12.52735544,0.272644564,21066.09584,2817.249429,N/A
20,blank3,Unknown,1,akg_m2-1,Qualifiers,147.1 / 102.0,akg,12.8,N/A,N/A,N/A,N/A,N/A
21,blank3,Unknown,1,akg_m2-2,Qualifiers,147.1 / 103.0,akg,12.8,N/A,N/A,N/A,N/A,N/A
22,blank3,Unknown,1,akg_m3-2,Qualifiers,148.1 / 103.0,akg,12.8,N/A,N/A,N/A,N/A,N/A
