Index,Sample Name,Sample Type,Dilution Factor,Component Name,Component Type,Mass Info,Component Group Name,Expected RT,Retention Time,Retention Time Delta (min),Area,Height,Height Ratio
1,blank5,Unknown,1,6pgc_m0-0,Quantifiers,275.0 / 97.0,6pgc,13.7,13.29377528,0.406224719,42573.20356,4477.039371,N/A
2,blank5,Unknown,1,6pgc_m1-0,Qualifiers,276.0 / 97.0,6pgc,13.7,N/A,N/A,N/A,N/A,N/A
3,blank5,Unknown,1,6pgc_m2-0,Qualifiers,277.0 / 97.0,6pgc,13.7,N/A,N/A,N/A,N/A,N/A
4,blank5,Unknown,1,6pgc_m3-0,Qualifiers,278.0 / 97.0,6pgc,13.7,13.349499,0.350501002,5476.050657,1969.624149,N/A
5,blank5,Unknown,1,6pgc_m4-0,Qualifiers,279.0 / 97.0,6pgc,13.7,13.76137344,0.061373441,182953.902,25585.75099,N/A
6,blank5,Unknown,1,6pgc_m5-0,Qualifiers,280.0 / 97.0,6pgc,13.7,13.31553286,0.384467142,4353290.727,241301.1086,N/A
7,blank5,Unknown,1,6pgc_m6-0,Qualifiers,281.0 / 97.0,6pgc,13.7,13.35116232,0.348837684,52713.48584,24336.78126,N/A
8,blank5,Unknown,1,e4p_m0-0,Quantifiers,199.0 / 139.0,e4p,6.5,N/A,N/A,N/A,N/A,N/A
9,blank5,Unknown,1,e4p_m1-0,Qualifiers,200.0 / 139.0,e4p,6.5,N/A,N/A,N/A,N/A,N/A
10,blank5,Unknown,1,e4p_m1-1,Qualifiers,200.0 / 140.0,e4p,6.5,N/A,N/A,N/A,N/A,N/A
11,blank5,Unknown,1,e4p_m2-0,Qualifiers,201.0 / 139.0,e4p,6.5,N/A,N/A,N/A,N/A,N/A
12,blank5,Unknown,1,e4p_m2-1,Qualifiers,201.0 / 140.0,e4p,6.5,N/A,N/A,N/A,N/A,N/A
13,blank5,Unknown,1,e4p_m2-2,Qualifiers,201.0 / 141.0,e4p,6.5,N/A,N/A,N/A,N/A,N/A
14,blank5,Unknown,1,e4p_m3-1,Qualifiers,202.0 / 140.0,e4p,6.5,N/A,N/A,N/A,N/A,N/A
15,blank5,Unknown,1,e4p_m3-2,Qualifiers,202.0 / 141.0,e4p,6.5,N/A,N/A,N/A,N/A,N/A
