component_name,component_group_name,meta_value,ID_0_rep_1,ID_0_rep_2,ID_10_rep_1,ID_10_rep_2,ID_12_rep_1,ID_12_rep_2,ID_14_rep_1,ID_14_rep_2,ID_16_rep_1,ID_16_rep_2,ID_18_rep_1,ID_18_rep_2,ID_20_rep_1,ID_20_rep_2,ID_22_rep_1,ID_22_rep_2,ID_24_rep_1,ID_24_rep_2,ID_26_rep_1,ID_26_rep_2,ID_28_rep_1,ID_28_rep_2,ID_2_rep_1,ID_2_rep_2,ID_30_rep_1,ID_30_rep_2,ID_32_rep_1,ID_32_rep_2,ID_34_rep_1,ID_34_rep_2,ID_36_rep_1,ID_36_rep_2,ID_38_rep_1,ID_38_rep_2,ID_40_rep_1,ID_40_rep_2,ID_42_rep_1,ID_42_rep_2,ID_44_rep_1,ID_44_rep_2,ID_46_rep_1,ID_46_rep_2,ID_48_rep_1,ID_48_rep_2,ID_4_rep_1,ID_4_rep_2,ID_50_rep_1,ID_50_rep_2,ID_6_rep_1,ID_6_rep_2,ID_8_rep_1,ID_8_rep_2
Ala_232,Ala_232,RT,261.824585,261.728882,261.778809,261.744568,261.789124,261.709198,261.749329,261.790833,261.814911,261.834442,261.803497,261.758179,261.786835,261.683838,261.838013,261.781738,261.81073,261.776886,261.786835,261.786102,261.717316,261.746307,261.727539,261.737335,261.771912,261.79715,261.670715,261.697784,261.576691,261.675568,261.751221,261.623993,261.700928,261.57605,261.705444,261.717163,261.681091,261.644531,261.673218,261.699554,261.653168,261.712524,261.69101,261.672974,261.776367,261.71283,261.576782,261.674316,261.760162,261.766266,261.738922,261.789032
Ala_232,Ala_232,absolute_difference,0.014108,0.011981,0.308381,0.306447,0.300406,0.302955,0.30526,0.302701,0.303087,0.303045,0.300302,0.299074,0.302014,0.303779,0.301286,0.300623,0.306308,0.307017,0.304859,0.302325,0.297103,0.294899,0.293946,0.296041,0.307881,0.307407,0.300771,0.299845,0.302016,0.303573,0.303247,0.301151,0.301395,0.301918,0.299789,0.301111,0.303967,0.304168,0.307737,0.309956,0.300551,0.299951,0.304763,0.305131,0.289696,0.282227,0.302477,0.303318,0.298512,0.300519,0.301722,0.301813
Ala_232,Ala_232,peak_apex_int,0.751538,0.753664,0.457264,0.459199,0.46524,0.46269,0.460386,0.462944,0.462559,0.4626,0.465343,0.466571,0.463632,0.461866,0.46436,0.465022,0.459337,0.458628,0.460786,0.463321,0.468543,0.470746,0.4717,0.469604,0.457765,0.458238,0.464875,0.4658,0.463629,0.462073,0.462398,0.464495,0.464251,0.463728,0.465857,0.464535,0.461678,0.461477,0.457908,0.455689,0.465095,0.465695,0.460882,0.460515,0.47595,0.483419,0.463169,0.462327,0.467133,0.465127,0.463924,0.463833
Ala_233,Ala_232,RT,261.824585,261.728882,261.778809,261.744568,261.789124,261.709198,261.749329,261.790833,261.814911,261.834442,261.803497,261.758179,261.786835,261.683838,261.838013,261.781738,261.81073,261.776886,261.786835,261.786102,261.717316,261.746307,261.727539,261.737335,261.771912,261.79715,261.670715,261.697784,261.576691,261.675568,261.751221,261.623993,261.700928,261.57605,261.705444,261.717163,261.681091,261.644531,261.673218,261.699554,261.653168,261.712524,261.69101,261.672974,261.776367,261.71283,261.576782,261.674316,261.760162,261.766266,261.738922,261.789032
Ala_233,Ala_232,absolute_difference,0.01026,0.009524,0.264541,0.262762,0.256631,0.259723,0.264903,0.261391,0.261689,0.261647,0.25683,0.256906,0.25982,0.261585,0.258583,0.259486,0.262739,0.263625,0.262304,0.260836,0.255166,0.253507,0.254646,0.255837,0.263609,0.263405,0.259111,0.257258,0.261333,0.260417,0.261593,0.258019,0.258758,0.260206,0.258162,0.259171,0.261189,0.261534,0.264619,0.266543,0.257258,0.256886,0.261153,0.261253,0.250304,0.244565,0.259098,0.260023,0.256183,0.257907,0.259655,0.25957
Ala_233,Ala_232,peak_apex_int,0.176032,0.175296,0.430313,0.428533,0.422403,0.425495,0.430675,0.427163,0.427461,0.427419,0.422602,0.422678,0.425592,0.427357,0.424355,0.425258,0.428511,0.429397,0.428076,0.426608,0.420938,0.419279,0.420418,0.421609,0.429381,0.429177,0.424883,0.42303,0.427105,0.426189,0.427365,0.423791,0.42453,0.425978,0.423934,0.424943,0.426961,0.427306,0.430391,0.432315,0.42303,0.422658,0.426925,0.427025,0.416076,0.410337,0.42487,0.425795,0.421955,0.423678,0.425427,0.425342
Ala_234,Ala_232,RT,261.824585,261.728882,261.778809,261.744568,261.789124,261.709198,261.749329,261.790833,261.814911,261.834442,261.803497,261.758179,261.786835,261.683838,261.838013,261.781738,261.81073,261.776886,261.786835,261.786102,261.717316,261.746307,261.727539,261.737335,261.771912,261.79715,261.670715,261.697784,261.576691,261.675568,261.751221,261.623993,261.700928,261.57605,261.705444,261.717163,261.681091,261.644531,261.673218,261.699554,261.653168,261.712524,261.69101,261.672974,261.776367,261.71283,261.576782,261.674316,261.760162,261.766266,261.738922,261.789032
Ala_234,Ala_232,absolute_difference,0.003848,0.002457,0.043841,0.043685,0.043775,0.043232,0.040357,0.04131,0.041398,0.041398,0.043472,0.042168,0.042193,0.042194,0.042702,0.041137,0.043569,0.043392,0.042555,0.041489,0.041937,0.041393,0.039299,0.040204,0.044272,0.044002,0.04166,0.042587,0.040683,0.043156,0.041654,0.043132,0.042636,0.041711,0.041626,0.041939,0.042778,0.042635,0.043118,0.043413,0.043293,0.043065,0.04361,0.043877,0.039392,0.037662,0.043379,0.043295,0.042329,0.042612,0.042066,0.042242
Ala_234,Ala_232,peak_apex_int,0.07243,0.07104,0.112423,0.112268,0.112357,0.111815,0.10894,0.109892,0.109981,0.109981,0.112055,0.11075,0.110776,0.110776,0.111285,0.109719,0.112152,0.111975,0.111138,0.110072,0.11052,0.109975,0.107882,0.108787,0.112855,0.112585,0.110242,0.111169,0.109266,0.111739,0.110237,0.111714,0.111219,0.110294,0.110209,0.110522,0.11136,0.111217,0.1117,0.111996,0.111876,0.111647,0.112193,0.11246,0.107975,0.106245,0.111961,0.111878,0.110911,0.111195,0.110649,0.110825
Ala_260,Ala_260,RT,261.854797,261.730377,261.794525,261.753418,261.836365,261.732391,261.758087,261.829132,261.849915,261.83075,261.841675,261.786041,261.827637,261.738525,261.846252,261.815735,261.838928,261.78714,261.796478,261.821564,261.758301,261.773407,261.749969,261.756958,261.782806,261.824219,261.705414,261.707031,261.602081,261.674316,261.75,261.651398,261.709076,261.620361,261.70459,261.736267,261.714813,261.685913,261.687225,261.704102,261.6745,261.708801,261.700104,261.705353,261.763977,261.750092,261.627502,261.672211,261.770325,261.79248,261.775238,261.810638
Ala_260,Ala_260,absolute_difference,0.007867,0.005987,0.316523,0.315545,0.312457,0.315068,0.312588,0.315946,0.311531,0.31113,0.308713,0.309276,0.31481,0.314206,0.311858,0.312767,0.317492,0.314688,0.313658,0.315689,0.308337,0.30699,0.303776,0.303418,0.315623,0.31832,0.310411,0.309449,0.313164,0.312247,0.311349,0.311442,0.311565,0.308506,0.309475,0.311147,0.31257,0.312853,0.318215,0.316653,0.310003,0.311172,0.314295,0.314482,0.289498,0.290586,0.31581,0.313086,0.31035,0.311272,0.31143,0.312003
Ala_260,Ala_260,peak_apex_int,0.740673,0.742553,0.432017,0.432995,0.436083,0.433472,0.435952,0.432593,0.437009,0.437409,0.439827,0.439264,0.43373,0.434334,0.436682,0.435773,0.431048,0.433851,0.434882,0.432851,0.440203,0.44155,0.444764,0.445122,0.432917,0.43022,0.438129,0.439091,0.435376,0.436293,0.437191,0.437098,0.436975,0.440033,0.439065,0.437393,0.43597,0.435687,0.430325,0.431887,0.438537,0.437368,0.434245,0.434058,0.459042,0.457954,0.43273,0.435454,0.43819,0.437268,0.43711,0.436537
Ala_261,Ala_260,RT,261.854797,261.730377,261.794525,261.753418,261.836365,261.732391,261.758087,261.829132,261.849915,261.83075,261.841675,261.786041,261.827637,261.738525,261.846252,261.815735,261.838928,261.78714,261.796478,261.821564,261.758301,261.773407,261.749969,261.756958,261.782806,261.824219,261.705414,261.707031,261.602081,261.674316,261.75,261.651398,261.709076,261.620361,261.70459,261.736267,261.714813,261.685913,261.687225,261.704102,261.6745,261.708801,261.700104,261.705353,261.763977,261.750092,261.627502,261.672211,261.770325,261.79248,261.775238,261.810638
Ala_261,Ala_260,absolute_difference,0.00592,0.004874,0.246677,0.246486,0.243347,0.246028,0.247119,0.2505,0.245739,0.246586,0.240616,0.242018,0.246755,0.2453,0.245201,0.245789,0.248624,0.245761,0.246317,0.247289,0.242128,0.240268,0.23832,0.240019,0.247944,0.248694,0.243329,0.243683,0.248207,0.245719,0.243519,0.244713,0.244234,0.243098,0.24236,0.245307,0.245847,0.244351,0.248875,0.249659,0.242244,0.243798,0.245386,0.245265,0.226895,0.226942,0.246361,0.24437,0.242807,0.243982,0.244243,0.244083
Ala_261,Ala_260,peak_apex_int,0.176369,0.175324,0.417127,0.416935,0.413796,0.416477,0.417568,0.420949,0.416189,0.417036,0.411065,0.412467,0.417205,0.41575,0.41565,0.416238,0.419073,0.416211,0.416767,0.417739,0.412578,0.410717,0.408769,0.410469,0.418394,0.419143,0.413779,0.414132,0.418657,0.416169,0.413969,0.415163,0.414683,0.413548,0.412809,0.415756,0.416297,0.414801,0.419325,0.420108,0.412694,0.414248,0.415836,0.415714,0.397345,0.397391,0.41681,0.414819,0.413257,0.414432,0.414692,0.414533
Ala_262,Ala_260,RT,261.854797,261.730377,261.794525,261.753418,261.836365,261.732391,261.758087,261.829132,261.849915,261.83075,261.841675,261.786041,261.827637,261.738525,261.846252,261.815735,261.838928,261.78714,261.796478,261.821564,261.758301,261.773407,261.749969,261.756958,261.782806,261.824219,261.705414,261.707031,261.602081,261.674316,261.75,261.651398,261.709076,261.620361,261.70459,261.736267,261.714813,261.685913,261.687225,261.704102,261.6745,261.708801,261.700104,261.705353,261.763977,261.750092,261.627502,261.672211,261.770325,261.79248,261.775238,261.810638
Ala_262,Ala_260,absolute_difference,0.001588,0.001035,0.044041,0.043756,0.043165,0.043278,0.040655,0.040924,0.040562,0.039584,0.042837,0.042405,0.042809,0.043528,0.041493,0.042486,0.043527,0.042832,0.042237,0.043293,0.041951,0.041825,0.040991,0.038958,0.042293,0.044528,0.042111,0.04147,0.038948,0.040351,0.042268,0.042054,0.042344,0.040565,0.042161,0.04108,0.041518,0.043119,0.043602,0.042233,0.042654,0.042343,0.043703,0.043711,0.038927,0.037644,0.04349,0.043466,0.042604,0.041965,0.041809,0.042519
Ala_262,Ala_260,peak_apex_int,0.071995,0.071442,0.114447,0.114163,0.113571,0.113684,0.111061,0.11133,0.110968,0.10999,0.113243,0.112811,0.113216,0.113934,0.111899,0.112893,0.113934,0.113238,0.112644,0.1137,0.112358,0.112231,0.111398,0.109364,0.112699,0.114934,0.112517,0.111876,0.109354,0.110758,0.112675,0.11246,0.11275,0.110972,0.112567,0.111487,0.111925,0.113526,0.114008,0.112639,0.11306,0.11275,0.11411,0.114117,0.109334,0.10805,0.113896,0.113872,0.11301,0.112372,0.112216,0.112925
Ala_263,Ala_260,RT,261.854797,261.730377,261.794525,261.753418,261.836365,261.732391,261.758087,261.829132,261.849915,261.83075,261.841675,261.786041,261.827637,261.738525,261.846252,261.815735,261.838928,261.78714,261.796478,261.821564,261.758301,261.773407,261.749969,261.756958,261.782806,261.824219,261.705414,261.707031,261.602081,261.674316,261.75,261.651398,261.709076,261.620361,261.70459,261.736267,261.714813,261.685913,261.687225,261.704102,261.6745,261.708801,261.700104,261.705353,261.763977,261.750092,261.627502,261.672211,261.770325,261.79248,261.775238,261.810638
Ala_263,Ala_260,absolute_difference,0.000359,0.000078,0.025804,0.025303,0.025945,0.025762,0.024814,0.024523,0.02523,0.02496,0.02526,0.024854,0.025245,0.025378,0.025165,0.024492,0.025341,0.026096,0.025103,0.025106,0.024257,0.024897,0.024465,0.024441,0.025386,0.025099,0.024971,0.024296,0.026008,0.026176,0.025561,0.024674,0.024987,0.024843,0.024954,0.02476,0.025205,0.025382,0.025738,0.024761,0.025105,0.025031,0.025205,0.025506,0.023676,0.026001,0.02596,0.02525,0.024939,0.025324,0.025378,0.025401
Ala_263,Ala_260,peak_apex_int,0.010963,0.010682,0.036409,0.035907,0.03655,0.036366,0.035418,0.035127,0.035834,0.035565,0.035864,0.035458,0.03585,0.035983,0.035769,0.035096,0.035945,0.0367,0.035708,0.03571,0.034862,0.035501,0.035069,0.035046,0.03599,0.035704,0.035575,0.034901,0.036613,0.036781,0.036165,0.035278,0.035591,0.035447,0.035558,0.035364,0.035809,0.035986,0.036343,0.035365,0.035709,0.035635,0.035809,0.036111,0.03428,0.036605,0.036564,0.035855,0.035544,0.035928,0.035982,0.036005
Asp_302,Asp_302,RT,727.874329,727.793762,727.798401,727.75769,727.777832,727.737061,727.672913,727.641113,727.736511,727.737183,727.761963,727.765808,727.793579,727.831116,727.799438,727.787415,727.792786,727.760254,727.701538,727.755859,727.779907,727.729431,727.795227,727.720032,727.746582,727.789734,727.814148,727.772278,727.630554,727.590088,727.818298,727.687622,727.73114,727.738281,727.745544,727.683167,727.764709,727.755981,727.712341,727.764038,727.801941,727.717529,727.758545,727.726868,727.57489,727.475098,727.738831,727.713501,727.849304,727.816467,727.796265,727.820251
Asp_302,Asp_302,absolute_difference,0.005571,0.0073,0.183898,0.183715,0.180905,0.179993,0.186462,0.192326,0.172095,0.174954,0.174602,0.173337,0.174563,0.176501,0.173501,0.173588,0.176899,0.17509,0.17325,0.172104,0.170655,0.174159,0.175076,0.17465,0.188183,0.185317,0.173807,0.17391,0.201972,0.202155,0.174636,0.173218,0.172258,0.170933,0.177163,0.177501,0.179845,0.180026,0.173712,0.174601,0.177887,0.175827,0.173526,0.173271,0.154211,0.17002,0.172001,0.17391,0.176973,0.175971,0.177628,0.177376
Asp_302,Asp_302,peak_apex_int,0.728199,0.72647,0.549873,0.550055,0.552865,0.553778,0.547309,0.541444,0.561675,0.558816,0.559169,0.560433,0.559208,0.55727,0.56027,0.560183,0.556872,0.558681,0.56052,0.561667,0.563115,0.559612,0.558694,0.55912,0.545587,0.548454,0.559964,0.559861,0.531798,0.531616,0.559135,0.560552,0.561512,0.562837,0.556608,0.556269,0.553925,0.553745,0.560059,0.559169,0.555883,0.557943,0.560245,0.5605,0.57956,0.563751,0.56177,0.55986,0.556798,0.5578,0.556142,0.556395
Asp_303,Asp_302,RT,727.874329,727.793762,727.798401,727.75769,727.777832,727.737061,727.672913,727.641113,727.736511,727.737183,727.761963,727.765808,727.793579,727.831116,727.799438,727.787415,727.792786,727.760254,727.701538,727.755859,727.779907,727.729431,727.795227,727.720032,727.746582,727.789734,727.814148,727.772278,727.630554,727.590088,727.818298,727.687622,727.73114,727.738281,727.745544,727.683167,727.764709,727.755981,727.712341,727.764038,727.801941,727.717529,727.758545,727.726868,727.57489,727.475098,727.738831,727.713501,727.849304,727.816467,727.796265,727.820251
Asp_303,Asp_302,absolute_difference,0.003134,0.00497,0.141073,0.141256,0.137747,0.136359,0.143972,0.145696,0.13226,0.133196,0.134192,0.133744,0.134021,0.135735,0.133075,0.133542,0.135415,0.134933,0.132586,0.132105,0.130494,0.134253,0.133219,0.134508,0.144282,0.142985,0.132136,0.131333,0.158749,0.15679,0.13482,0.132638,0.131735,0.13122,0.136098,0.13672,0.137628,0.139378,0.134162,0.134373,0.13635,0.134704,0.132982,0.131638,0.110264,0.123657,0.132691,0.133592,0.136456,0.134868,0.135846,0.137321
Asp_303,Asp_302,peak_apex_int,0.194536,0.196371,0.332474,0.332657,0.329149,0.32776,0.335373,0.337098,0.323662,0.324598,0.325593,0.325145,0.325422,0.327137,0.324476,0.324944,0.326816,0.326334,0.323987,0.323506,0.321896,0.325654,0.32462,0.325909,0.335684,0.334387,0.323538,0.322735,0.35015,0.348191,0.326221,0.32404,0.323136,0.322621,0.327499,0.328121,0.32903,0.33078,0.325563,0.325774,0.327752,0.326106,0.324384,0.32304,0.301665,0.315058,0.324092,0.324994,0.327857,0.32627,0.327247,0.328722
Asp_304,Asp_302,RT,727.874329,727.793762,727.798401,727.75769,727.777832,727.737061,727.672913,727.641113,727.736511,727.737183,727.761963,727.765808,727.793579,727.831116,727.799438,727.787415,727.792786,727.760254,727.701538,727.755859,727.779907,727.729431,727.795227,727.720032,727.746582,727.789734,727.814148,727.772278,727.630554,727.590088,727.818298,727.687622,727.73114,727.738281,727.745544,727.683167,727.764709,727.755981,727.712341,727.764038,727.801941,727.717529,727.758545,727.726868,727.57489,727.475098,727.738831,727.713501,727.849304,727.816467,727.796265,727.820251
Asp_304,Asp_302,absolute_difference,0.002437,0.002331,0.042825,0.04246,0.043158,0.043634,0.04249,0.04663,0.039835,0.041758,0.04041,0.039593,0.040542,0.040766,0.040426,0.040045,0.041484,0.040157,0.040665,0.039999,0.040161,0.039906,0.041857,0.040143,0.043901,0.042331,0.04167,0.042577,0.043224,0.045365,0.039816,0.04058,0.040523,0.039713,0.041065,0.040781,0.042217,0.040648,0.03955,0.040228,0.041537,0.041123,0.040544,0.041633,0.043947,0.046363,0.03931,0.040318,0.040517,0.041103,0.041782,0.040055
Asp_304,Asp_302,peak_apex_int,0.077265,0.077158,0.117653,0.117288,0.117986,0.118462,0.117318,0.121458,0.114663,0.116586,0.115238,0.114421,0.11537,0.115594,0.115254,0.114873,0.116312,0.114985,0.115493,0.114827,0.114989,0.114734,0.116685,0.114971,0.118729,0.117159,0.116498,0.117405,0.118052,0.120193,0.114644,0.115408,0.115351,0.114541,0.115893,0.115609,0.117045,0.115476,0.114378,0.115056,0.116365,0.115951,0.115372,0.116461,0.118775,0.12119,0.114138,0.115146,0.115345,0.115931,0.11661,0.114883
Asp_390,Asp_390,RT,727.910095,727.863708,727.810913,727.787537,727.830078,727.852905,727.753174,727.710632,727.781433,727.751221,727.83374,727.772827,727.839905,727.788513,727.833862,727.816956,727.854431,727.810608,727.722412,727.818298,727.854126,727.794983,727.763,727.847656,727.765198,727.797424,727.848938,727.79187,727.619751,727.698242,727.830139,727.694153,727.786011,727.773804,727.799805,727.786194,727.80603,727.817749,727.792542,727.756165,727.777893,727.699463,727.781799,727.737976,727.580994,727.539673,727.78363,727.778198,727.880554,727.868042,727.846191,727.860535
